stage,date,distance,origin,destination,type,flat_cobblestone,flat,half,high_mountain,hilly,individual_time_trial,intermediate,medium_mountain,mountain,mountain_time,plain,plain_with_cobble,stage_with_mountain,team_time_trial,transition,winner,winner_country,year,country_code,stage_2
4,7/9/1910,309,Belfort,Lyon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,François Faber,LUX,1910,22,4
5,7/11/1910,311,Lyon,Grenoble,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Octave Lapize,FRA,1910,11,5
6,7/13/1910,345,Grenoble,Nice,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Julien Maitron,FRA,1910,11,6
7,7/15/1910,345,Nice,Nîmes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,François Faber,LUX,1910,22,7
8,7/17/1910,216,Nîmes,Perpignan,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Georges Paulmier,FRA,1910,11,8
9,7/19/1910,289,Perpignan,Luchon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Octave Lapize,FRA,1910,11,9
10,7/21/1910,326,Luchon,Bayonne,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Octave Lapize,FRA,1910,11,10
11,7/23/1910,269,Bayonne,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Ernest Paul,FRA,1910,11,11
12,7/25/1910,391,Bordeaux,Nantes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Louis Trousselier,FRA,1910,11,12
13,7/27/1910,321,Nantes,Brest,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gustave Garrigou,FRA,1910,11,13
14,7/29/1910,424,Brest,Caen,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Octave Lapize,FRA,1910,11,14
15,7/31/1910,262,Caen,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Ernesto Azzini,ITA,1910,18,15
1,7/2/1911,351,Paris,Dunkerque,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gustave Garrigou,FRA,1911,11,1
2,7/4/1911,388,Dunkerque,Longwy,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jules Masselis,BEL,1911,3,2
3,7/6/1911,331,Longwy,Belfort,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,François Faber,LUX,1911,22,3
4,7/8/1911,344,Belfort,Chamonix,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Charles Crupelandt,FRA,1911,11,4
5,7/10/1911,366,Chamonix,Grenoble,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Émile Georget,FRA,1911,11,5
6,7/12/1911,348,Grenoble,Nice,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,François Faber,LUX,1911,22,6
7,7/14/1911,334,Nice,Marseille,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Charles Crupelandt,FRA,1911,11,7
8,7/16/1911,335,Marseille,Perpignan,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Paul Duboc,FRA,1911,11,8
9,7/18/1911,289,Perpignan,Luchon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Paul Duboc,FRA,1911,11,9
10,7/20/1911,326,Luchon,Bayonne,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Maurice Brocco[n 2],FRA,1911,11,10
11,7/22/1911,379,Bayonne,La Rochelle,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Paul Duboc,FRA,1911,11,11
12,7/23/1911,470,La Rochelle,Brest,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marcel Godivier,FRA,1911,11,12
13,7/26/1911,405,Brest,Cherbourg,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gustave Garrigou,FRA,1911,11,13
14,7/28/1911,361,Cherbourg,Le Havre,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Paul Duboc,FRA,1911,11,14
15,7/30/1911,317,Le Havre,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marcel Godivier,FRA,1911,11,15
1,6/30/1912,351,Paris,Dunkerque,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Charles Crupelandt,FRA,1912,11,1
2,7/2/1912,388,Dunkerque,Longwy,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Odile Defraye,BEL,1912,3,2
3,7/4/1912,331,Longwy,Belfort,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Eugène Christophe,FRA,1912,11,3
4,7/6/1912,344,Belfort,Chamonix,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Eugène Christophe,FRA,1912,11,4
5,7/8/1912,366,Chamonix,Grenoble,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Eugène Christophe,FRA,1912,11,5
6,7/10/1912,323,Grenoble,Nice,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Octave Lapize,FRA,1912,11,6
7,7/12/1912,334,Nice,Marseille,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Odile Defraye,BEL,1912,3,7
8,7/14/1912,335,Marseille,Perpignan,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Vicenzo Borgarello,ITA,1912,18,8
9,7/16/1912,289,Perpignan,Luchon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Odile Defraye,BEL,1912,3,9
